customer_id,payer_name,first_name,last_name,gender,cpf,idade,cep,cidade,estado,endereco,graduado,trabalho,idioma,pessoa_fisica_juridica,email,payer_email,saldo,score_credito,produtos,device_brand,device_model,cor,device_date,os,material,barcode,total,data_pagamento,descrisão_pagamento,marca_carro,moeda,departamento,estoque,credit_card,estoque_industrial,frequencia,pagador,risco_emprestimo,marcas_consumidas,frequencia_transacoes,ativo,beneficiario_governo,estado_saude,bancos_cadastro,status_pagamento,valor_pagamento,tipo_transacao,status_conta,paises_visitados
174,Olivia Myderscough,Olivia,Myderscough,Female,331-12-3111,22,63-830,Pępowo,,58 Vidon Hill,false,Structural Engineer,Tswana,pessoa jurídica,omyderscough4t@cnn.com,omyderscough4t@prnewswire.com,9303.13,532,produto2,Nokia,Nokia X2-00,Goldenrod,2010,Feature phone,Aluminum,047684362-6,1512.81,4/6/2022,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et,Mazda,Zloty,Outdoors,"ICC Holdings, Inc.",3528617919633378,Property-Casualty Insurers,Seldom,sim,baixo,marca1,4,true,false,bom,itaú,recusado,5611.88,empréstimos,ativa,72
175,Binni Djurdjevic,Binni,Djurdjevic,Female,177-65-4790,29,665911,Slyudyanka,,1 Ilene Street,false,Civil Engineer,Aymara,pessoa jurídica,bdjurdjevic4u@wsj.com,bdjurdjevic4u@tamu.edu,-6779.11,452,produto1,Bird,Bird S288,Violet,2003,Feature phone,Steel,972316024-2,3324.09,6/25/2022,sit amet lobortis sapien sapien non mi integer ac neque duis,GMC,Ruble,Grocery,Everi Holdings Inc.,3561840315000723,Finance: Consumer Services,Yearly,sim,baixo,marca2,20,false,false,bom,bradesco,recusado,1773.16,consórcios,desativada,59
176,Phoebe Peery,Phoebe,Peery,Female,769-02-5249,35,84135,Salerno,Campania,1 Arizona Road,true,Product Engineer,Persian,pessoa física,ppeery4v@theatlantic.com,ppeery4v@pinterest.com,-9286.78,458,produto1,Tecno,Tecno Spark,Green,2017,Android 7.0,Stone,274537322-6,3850.15,9/26/2021,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,Lexus,Euro,Electronics,"Reven Housing REIT, Inc.",503857594154914674,Real Estate Investment Trusts,Seldom,sim,alto,marca3,40,false,false,bom,inter,aceito,5273.35,investimentos,ativa,32
177,Harwilll MacNeil,Harwilll,MacNeil,Male,358-84-4380,37,,Kulpin,,819 Karstens Lane,true,Pharmacist,Swahili,pessoa física,hmacneil4w@etsy.com,hmacneil4w@slideshare.net,-481.8,316,produto3,Nokia,Nokia 1110,Orange,2005,Feature phone,Plastic,833693408-1,1467.14,5/14/2021,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,Lotus,Dinar,Garden,Voya Prime Rate Trust,5602237405786566,n/a,Never,sim,alto,marca1,49,true,false,bom,inter,pendente,9830.05,empréstimos,desativada,66
178,Gram Minucci,Gram,Minucci,Male,859-13-0239,73,79240-000,Jardim,,47380 Drewry Lane,false,Geologist I,Punjabi,pessoa física,gminucci4x@oaic.gov.au,gminucci4x@g.co,8236.4,741,produto3,Micromax,Micromax X410,Crimson,2011,Feature phone,Rubber,888457985-6,7903.25,11/29/2020,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,Mazda,Real,Beauty,InVivo Therapeutics Holdings Corp.,5018053046543396085,Medical/Dental Instruments,Weekly,não,baixo,marca2,32,true,true,ruim,bnb,recusado,7712.18,investimentos,ativa,83
179,Udell MacNeish,Udell,MacNeish,Male,285-29-3427,38,,Seupakat,,65981 Canary Plaza,true,Data Coordinator,Bislama,pessoa jurídica,umacneish4y@stanford.edu,umacneish4y@uiuc.edu,-8549.7,596,produto1,HTC,HTC Wildfire CDMA,Violet,2010,"Android 2.1, up to 2.3, Sense UI",Brass,496611302-4,1802.32,7/3/2021,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,Chevrolet,Rupiah,Outdoors,Gladstone Investment Corporation,3580349636529086,n/a,Daily,não,alto,marca3,46,true,true,grave,bb,pendente,6453.22,empréstimos,ativa,76
180,Mala Hasson,Mala,Hasson,Female,452-81-1910,53,,Dongping,,646 Arrowood Lane,false,Safety Technician IV,Māori,pessoa jurídica,mhasson4z@dagondesign.com,mhasson4z@soundcloud.com,1101.17,523,produto1,LG,LG Revolution,Khaki,2011,"Android 2.2, up to 2.3",Aluminum,715048458-1,9227.19,3/13/2022,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,Nissan,Yuan Renminbi,Music,"West Marine, Inc.",3576523332825800,Automotive Aftermarket,Monthly,sim,médio,marca1,76,true,true,ruim,bnb,pendente,7178.04,investimentos,desativada,44
181,Malanie Fiddler,Malanie,Fiddler,Polygender,813-62-9450,54,65620-000,Coelho Neto,,1 Northland Crossing,false,Analyst Programmer,Tajik,pessoa física,mfiddler50@hatena.ne.jp,mfiddler50@ask.com,-5895.05,491,produto2,BLU,BLU C4,Puce,2018,Android 8.1 Oreo,Vinyl,281325353-7,1227.64,3/7/2022,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,Volvo,Real,Outdoors,Vascular Biogenics Ltd.,561043555019269060,Major Pharmaceuticals,Never,sim,médio,marca1,39,false,true,bom,bb,aceito,495.36,empréstimos,desativada,69
182,Gabriellia Dello,Gabriellia,Dello,Genderfluid,581-70-4655,78,,Zhangdu,,041 Cordelia Court,true,Dental Hygienist,Irish Gaelic,pessoa física,gdello51@constantcontact.com,gdello51@instagram.com,6522.96,771,produto1,Allview,Allview Soul X7 Pro,Turquoise,2020,Android 9.0,Brass,230166183-0,564.02,7/24/2022,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,Chevrolet,Yuan Renminbi,Industrial,VelocityShares Daily 2x VIX Short-Term ETN,3572950739010641,Investment Bankers/Brokers/Service,Seldom,não,alto,marca3,81,false,false,ruim,bnb,pendente,5301.09,empréstimos,ativa,54
183,Patricio Tofpik,Patricio,Tofpik,Male,309-11-0607,82,,Kuressaare,,33989 Briar Crest Hill,true,GIS Technical Architect,West Frisian,pessoa física,ptofpik52@mlb.com,ptofpik52@github.com,5442.09,564,produto3,Nokia,Nokia C6-01,Violet,2010,"Symbian^3, up to Nokia Belle OS",Brass,274093926-4,5464.21,2/21/2022,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,Mazda,Euro,Music,MSA Safety Incorporporated,6759529267858509666,Industrial Specialties,Seldom,não,baixo,marca1,15,true,false,bom,santander,recusado,8473.83,consórcios,ativa,85
184,Gill Marfield,Gill,Marfield,Male,795-55-0958,50,64701,Teuva,,59767 Dryden Terrace,true,Quality Control Specialist,Czech,pessoa física,gmarfield53@ed.gov,gmarfield53@techcrunch.com,6373.76,464,produto2,Blackview,Blackview A7,Purple,2017,Android 7.0,Glass,051439597-4,7729.66,9/9/2022,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,Suzuki,Euro,Tools,UroGen Pharma Ltd.,6759302285618593633,Major Pharmaceuticals,Once,sim,baixo,marca3,28,true,true,regular,bnb,pendente,1661.02,investimentos,ativa,41
185,Inglebert Bernollet,Inglebert,Bernollet,Male,526-88-6243,34,,Tuanlin,,3 Rieder Park,true,Desktop Support Technician,Armenian,pessoa jurídica,ibernollet54@berkeley.edu,ibernollet54@epa.gov,-7574.88,333,produto2,Amoi,Amoi A865,Red,2006,Feature phone,Granite,093829817-8,1281.48,5/2/2020,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,Chevrolet,Yuan Renminbi,Toys,"PB Bancorp, Inc.",3561040825798508,Savings Institutions,Seldom,não,médio,marca3,0,true,true,ruim,santander,aceito,8259.46,investimentos,desativada,69
186,Rawley Pieters,Rawley,Pieters,Male,448-24-5266,37,356-0024,Ōi,,9 Stoughton Plaza,true,Food Chemist,West Frisian,pessoa jurídica,rpieters55@1688.com,rpieters55@amazon.co.jp,-9996.8,708,produto2,Sony,Sony Xperia go,Teal,2012,"Android 2.3, up to 4.1.2",Plexiglass,268238185-5,2545.98,10/20/2020,libero nam dui proin leo odio porttitor id consequat in,Mazda,Yen,Health,Fortress Transportation and Infrastructure Investors LLC,5100140638169757,n/a,Once,sim,baixo,marca2,59,false,true,regular,bnb,recusado,3775.69,consórcios,ativa,52
187,Penelope Dohmer,Penelope,Dohmer,Female,867-90-7622,40,,Biting,,15912 Monterey Center,true,Cost Accountant,Gagauz,pessoa física,pdohmer56@statcounter.com,pdohmer56@barnesandnoble.com,4672.57,707,produto1,Samsung,Samsung Galaxy Tab 2 10.1 CDMA,Maroon,2012,Android 4.0,Steel,540974426-8,8983.55,2/8/2021,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,Volvo,Rupiah,Electronics,"Ionis Pharmaceuticals, Inc.",374283262715626,Major Pharmaceuticals,Never,não,alto,marca3,81,false,true,bom,caixa,pendente,5838.28,consórcios,ativa,82
188,Simone Mallender,Simone,Mallender,Male,356-23-2774,69,,Wau,,01 Green Trail,false,Structural Analysis Engineer,Polish,pessoa física,smallender57@yellowbook.com,smallender57@harvard.edu,-9583.62,813,produto2,Vertu,Vertu Signature S,Aquamarine,2008,Feature phone,Plexiglass,479572528-4,6899.52,11/27/2020,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,BMW,Kina,Industrial,"Entergy Louisiana, Inc.",6709556740644958323,Electric Utilities: Central,Weekly,sim,médio,marca2,44,true,false,grave,caixa,recusado,205.67,consórcios,desativada,93
189,Bethanne Helwig,Bethanne,Helwig,Non-binary,838-85-6959,19,,Aricagua,,71872 Dakota Lane,true,Office Assistant III,Bosnian,pessoa jurídica,bhelwig58@huffingtonpost.com,bhelwig58@canalblog.com,-809.43,413,produto3,Samsung,Samsung Galaxy S10e,Green,2019,"Android 9.0, up to Android 11, One UI 3.0",Brass,075727866-3,9274.65,12/11/2022,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus,Mitsubishi,Bolivar,Movies,"Hyster-Yale Materials Handling, Inc.",3572050257147360,Construction/Ag Equipment/Trucks,Weekly,sim,baixo,marca3,26,true,true,grave,bb,recusado,9733.9,consórcios,desativada,67
190,Mercy Caron,Mercy,Caron,Female,180-39-4483,38,98405,Tacoma,Washington,69685 Ryan Crossing,false,Speech Pathologist,Tok Pisin,pessoa física,mcaron59@zimbio.com,mcaron59@jiathis.com,-5669.68,724,produto2,XOLO,XOLO Win Q900s,Purple,2014,Microsoft Windows Phone 8.1,Wood,746072276-6,7315.89,6/10/2021,convallis eget eleifend luctus ultricies eu nibh quisque id justo,Buick,Dollar,Music,"Richmont Mines, Inc.",3585566551837724,Precious Metals,Yearly,não,médio,marca2,41,false,true,ruim,santander,aceito,6824.87,financiamentos,desativada,11
191,Temple Mellor,Temple,Mellor,Male,138-18-6954,51,312 36,Laholm,Halland,73 Moulton Circle,false,Media Manager I,Romanian,pessoa física,tmellor5a@gravatar.com,tmellor5a@mlb.com,7920.0,718,produto3,HTC,HTC Wildfire E,Blue,2019,Android 9.0,Rubber,772397256-3,3802.06,11/12/2021,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,Hummer,Krona,Home,Vornado Realty Trust,3545197385725346,n/a,Yearly,não,alto,marca3,40,false,true,ruim,santander,aceito,5126.67,investimentos,ativa,0
192,Timothy Brussell,Timothy,Brussell,Male,518-02-5087,83,,Caikouji,,07 Atwood Plaza,true,Executive Secretary,Kashmiri,pessoa física,tbrussell5b@goodreads.com,tbrussell5b@sitemeter.com,-6369.46,668,produto1,Samsung,Samsung L760,Aquamarine,2007,Feature phone,Aluminum,355805706-6,3367.45,8/27/2022,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,Jeep,Yuan Renminbi,Outdoors,"Thor Industries, Inc.",6706000254320712747,Homebuilding,Seldom,não,baixo,marca3,87,true,true,bom,inter,recusado,7911.25,investimentos,desativada,81
193,Wye Percifull,Wye,Percifull,Male,286-86-0310,78,1685-141,Famões,Lisboa,510 Green Ridge Junction,false,Engineer III,Estonian,pessoa jurídica,wpercifull5c@ihg.com,wpercifull5c@livejournal.com,-5785.93,775,produto3,Philips,Philips Xenium 9@9d,Aquamarine,2006,Feature phone,Brass,205929718-4,3560.04,7/15/2022,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,Ford,Euro,Tools,ENI S.p.A.,6759038587685447,Oil & Gas Production,Seldom,sim,alto,marca1,95,false,true,bom,santander,aceito,5520.73,empréstimos,ativa,90
194,Eolanda Gowdy,Eolanda,Gowdy,Female,704-02-2227,20,1150,Maketu,,5693 Rowland Way,false,Geologist III,Dzongkha,pessoa jurídica,egowdy5d@ustream.tv,egowdy5d@tuttocitta.it,5720.79,846,produto2,Acer,Acer Iconia Tab 10 A3-A30,Blue,2015,Android 5.0,Plastic,143043236-5,2636.52,10/26/2021,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,Saturn,Dollar,Music,News Corporation,3559033608783007,Newspapers/Magazines,Often,não,alto,marca1,66,false,false,bom,inter,aceito,8356.43,investimentos,ativa,12
195,Alfie Maciocia,Alfie,Maciocia,Male,592-33-4242,22,48126,Dearborn,Michigan,95701 Express Road,false,Senior Developer,Finnish,pessoa jurídica,amaciocia5e@live.com,amaciocia5e@dyndns.org,1387.37,415,produto3,Emporia,Emporia Flip Basic,Maroon,2014,Feature phone,Stone,336591260-6,4906.16,11/12/2021,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,Ford,Dollar,Health,"Colony NorthStar, Inc.",201449154898825,n/a,Monthly,não,baixo,marca1,91,false,true,regular,inter,pendente,99.98,financiamentos,desativada,20
196,Dione Lohan,Dione,Lohan,Female,621-76-6593,85,,Chervonopartyzans’k,,1035 Dahle Circle,false,Human Resources Manager,Lao,pessoa jurídica,dlohan5f@forbes.com,dlohan5f@wikispaces.com,-3565.47,850,produto3,Apple,Apple iPhone 12 mini,Crimson,2020,"iOS 14.1, up to iOS 14.7",Plastic,503763917-4,8944.08,8/4/2020,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,Mercedes-Benz,Hryvnia,Beauty,"PROS Holdings, Inc.",5002354701282327,EDP Services,Yearly,sim,alto,marca1,55,true,false,ruim,santander,aceito,6328.74,empréstimos,ativa,99
197,Jen Derricoat,Jen,Derricoat,Female,365-54-8808,23,3703,Gang,,1624 Manufacturers Lane,false,Clinical Specialist,Tsonga,pessoa física,jderricoat5g@blogger.com,jderricoat5g@dedecms.com,6405.32,506,produto2,LG,LG KU950,Red,2007,Feature phone,Stone,419437354-5,9531.51,9/21/2020,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,Chevrolet,Peso,Sports,Oil-Dri Corporation Of America,3533428244836865,Miscellaneous manufacturing industries,Yearly,não,alto,marca3,70,true,true,regular,bnb,recusado,5807.15,empréstimos,ativa,35
198,Erek Dysert,Erek,Dysert,Male,124-28-0489,64,,Hangchuan,,09313 Grayhawk Drive,true,Statistician II,Bislama,pessoa física,edysert5h@youtube.com,edysert5h@comsenz.com,8403.31,738,produto3,Sharp,Sharp Aquos Zero,Aquamarine,2019,Android 9.0,Rubber,723639246-4,4686.86,11/23/2020,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,Toyota,Yuan Renminbi,Garden,"Century Bancorp, Inc.",3544804554981698,Major Banks,Daily,não,alto,marca3,20,true,false,grave,bb,pendente,1560.35,investimentos,desativada,95
199,Reider MacAlinden,Reider,MacAlinden,Male,268-01-3209,26,,Azacualpa,,83910 Mayer Point,false,Operator,Aymara,pessoa jurídica,rmacalinden5i@stumbleupon.com,rmacalinden5i@tuttocitta.it,2126.61,489,produto2,XOLO,XOLO Q900s,Khaki,2014,"Android 4.3, up to 4.4.2",Brass,582023385-9,5426.85,2/3/2022,rutrum nulla tellus in sagittis dui vel nisl duis ac,Ford,Lempira,Automotive,Egalet Corporation,6763436136798614551,Major Pharmaceuticals,Monthly,sim,baixo,marca3,93,false,false,grave,itaú,recusado,1801.07,consórcios,ativa,11
200,Yorgo Dimmack,Yorgo,Dimmack,Male,443-66-0645,34,,Dahongmen,,35104 Erie Pass,true,Technical Writer,Malagasy,pessoa jurídica,ydimmack5j@histats.com,ydimmack5j@columbia.edu,2857.51,594,produto3,vivo,vivo Y67,Purple,2016,"Android 6.0, Funtouch 2.6",Steel,120668814-9,1306.18,3/19/2021,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,Pontiac,Yuan Renminbi,Industrial,Resource Capital Corp.,6370968089096454,Real Estate Investment Trusts,Yearly,não,baixo,marca2,92,false,false,regular,bb,recusado,2778.07,investimentos,ativa,1
201,Ker Illingworth,Ker,Illingworth,Agender,833-47-4891,85,77645-000,Lajeado,,27090 Hagan Way,false,Financial Analyst,Hindi,pessoa física,killingworth5k@google.ru,killingworth5k@rakuten.co.jp,2577.65,536,produto3,Samsung,Samsung T729 Blast,Green,2007,Feature phone,Plastic,307161505-1,4095.2,5/14/2021,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,Volvo,Real,Garden,CHS Inc,5108754555988593,Farming/Seeds/Milling,Once,sim,médio,marca2,9,false,true,bom,itaú,pendente,3708.43,empréstimos,ativa,83
202,Camilla Mustchin,Camilla,Mustchin,Female,664-48-4766,46,301260,Kireyevsk,,923 Nova Plaza,false,Account Executive,Tamil,pessoa jurídica,cmustchin5l@senate.gov,cmustchin5l@infoseek.co.jp,-2188.96,817,produto1,TCL,TCL 10 Plus,Indigo,2020,"Android 10, TCL UI",Stone,011247635-X,3287.5,4/6/2020,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,Fiat,Ruble,Music,"HFF, Inc.",337941759690521,Real Estate,Weekly,não,baixo,marca1,3,false,true,bom,bnb,recusado,7925.66,empréstimos,ativa,52
203,Dud Sadat,Dud,Sadat,Male,312-65-6105,54,7200-224,Caridade,Évora,5 Old Gate Way,true,Senior Developer,Croatian,pessoa jurídica,dsadat5m@unblog.fr,dsadat5m@engadget.com,-3907.03,580,produto1,Sony,Sony Xperia M2,Pink,2014,"Android 4.3, up to 5.1",Wood,634497486-9,7220.73,12/3/2021,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,Mercury,Euro,Games,"Entegris, Inc.",676719704182395919,Plastic Products,Daily,sim,baixo,marca2,13,false,true,regular,itaú,pendente,7708.71,empréstimos,desativada,57
204,Jammal Crowdy,Jammal,Crowdy,Male,331-51-8771,18,,Sombor,,66840 Sheridan Road,true,Help Desk Operator,Tswana,pessoa física,jcrowdy5n@earthlink.net,jcrowdy5n@seesaa.net,9209.99,835,produto2,Vodafone,Vodafone V860 Smart II,Crimson,2012,Android 2.3.7,Wood,710226819-X,7503.26,4/20/2020,pharetra magna ac consequat metus sapien ut nunc vestibulum ante,Cadillac,Dinar,Music,"Dynex Capital, Inc.",6390268736838648,Real Estate Investment Trusts,Once,sim,médio,marca1,30,true,true,grave,bradesco,aceito,1411.83,empréstimos,desativada,1
205,Glyn Guiel,Glyn,Guiel,Genderfluid,571-89-4069,28,1695,Anopog,,93596 Browning Junction,true,Recruiter,Bengali,pessoa jurídica,gguiel5o@surveymonkey.com,gguiel5o@networkadvertising.org,-3474.02,551,produto1,alcatel,alcatel OT-819 Soul,Aquamarine,2012,Feature phone,Granite,338912695-3,1385.79,8/9/2020,a pede posuere nonummy integer non velit donec diam neque vestibulum,Subaru,Peso,Books,Amplify Online Retail ETF,3564330027334591,n/a,Daily,sim,médio,marca2,18,false,true,grave,caixa,recusado,7569.1,empréstimos,desativada,28
206,Meredeth Sawart,Meredeth,Sawart,Male,120-76-3792,37,30104 CEDEX,Alès,Languedoc-Roussillon,383 Mayfield Park,false,Dental Hygienist,Georgian,pessoa jurídica,msawart5p@mtv.com,msawart5p@cbc.ca,-5368.61,751,produto2,alcatel,alcatel OT 565,Blue,2004,Feature phone,Aluminum,322151012-8,2194.25,10/22/2020,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,Lexus,Euro,Electronics,"Willamette Valley Vineyards, Inc.",5602222254912919,Beverages (Production/Distribution),Once,não,baixo,marca1,34,false,true,bom,bradesco,pendente,2430.89,investimentos,desativada,89
207,Genevra Murton,Genevra,Murton,Female,755-14-3048,18,,Yuchi,,157 Logan Circle,true,Structural Analysis Engineer,Bulgarian,pessoa jurídica,gmurton5q@gnu.org,gmurton5q@arizona.edu,1743.19,490,produto2,Sony,Sony Xperia Z5,Goldenrod,2015,"Android 5.1.1, up to 7.1.1",Plastic,979065990-3,2975.54,11/5/2022,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,Ford,Yuan Renminbi,Tools,"KMG Chemicals, Inc.",5100172383289100,Major Chemicals,Yearly,não,médio,marca3,23,false,true,regular,bradesco,recusado,3096.35,financiamentos,desativada,39
208,Karna Cassie,Karna,Cassie,Bigender,410-27-2835,64,2240,Coronda,,7477 Everett Park,true,Engineer II,West Frisian,pessoa jurídica,kcassie5r@weather.com,kcassie5r@cdbaby.com,-498.64,316,produto1,Sony,Sony Xperia Z5 Dual,Purple,2015,"Android 5.1.1, up to 7.0",Wood,852832889-9,4610.33,10/26/2020,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,Lamborghini,Peso,Jewelry,"Itron, Inc.",201808931295524,Electrical Products,Once,não,baixo,marca2,93,false,true,regular,bradesco,recusado,1668.43,financiamentos,desativada,56
209,Willyt Fearon,Willyt,Fearon,Female,587-89-0997,82,10260,Phra Khanong,,87 Summerview Crossing,false,Analyst Programmer,Fijian,pessoa jurídica,wfearon5s@photobucket.com,wfearon5s@netlog.com,-8949.6,706,produto2,Panasonic,Panasonic Eluga Ray 700,Violet,2017,Android 7.0,Aluminum,453938296-9,4454.32,6/23/2022,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,Pontiac,Baht,Toys,iPath US Treasury Flattener ETN,30011360734298,Commercial Banks,Daily,sim,médio,marca1,51,true,true,grave,bradesco,pendente,8080.31,financiamentos,desativada,67
210,Upton Raistrick,Upton,Raistrick,Genderqueer,569-29-6678,69,,Huilelot,,80523 Weeping Birch Court,false,Legal Assistant,Bosnian,pessoa jurídica,uraistrick5t@dropbox.com,uraistrick5t@nasa.gov,-3121.74,700,produto1,LG,LG GW550,Red,2009,Microsoft Windows Mobile 6.5 Standard,Glass,683146151-4,5558.75,1/14/2020,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,Mitsubishi,Rupiah,Shoes,PowerShares Dividend Achievers Portfolio,3586467495653930,n/a,Weekly,sim,médio,marca3,33,true,true,grave,itaú,aceito,3138.16,consórcios,ativa,86
211,Cynde Gartside,Cynde,Gartside,Female,531-98-7827,24,36760,Luopioinen,,05494 Roxbury Terrace,false,Food Chemist,Hebrew,pessoa jurídica,cgartside5u@usa.gov,cgartside5u@bandcamp.com,-6604.75,842,produto3,ZTE,ZTE Chorus,Fuscia,2011,Feature phone,Rubber,005360812-7,233.78,3/9/2022,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,Subaru,Euro,Health,Foresight Energy LP,3533177102114911,Coal Mining,Often,não,médio,marca3,38,true,true,grave,inter,pendente,9284.38,investimentos,desativada,94
212,Cherie Piwell,Cherie,Piwell,Female,212-50-9323,79,,Behbahān,,20 Vidon Street,true,Senior Sales Associate,Bengali,pessoa jurídica,cpiwell5v@reference.com,cpiwell5v@wikispaces.com,2922.68,409,produto2,Energizer,Energizer Hardcase H591S,Pink,0,Android 8.1,Aluminum,482002564-3,8823.94,1/4/2022,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,Oldsmobile,Rial,Garden,Senior Housing Properties Trust,4041375077070,Real Estate Investment Trusts,Monthly,não,baixo,marca1,43,true,false,grave,bradesco,aceito,5640.36,financiamentos,ativa,45
213,Mario Mowsdill,Mario,Mowsdill,Male,706-47-2540,72,50923,Kuala Lumpur,Kuala Lumpur,9822 Jenna Drive,true,Compensation Analyst,Chinese,pessoa jurídica,mmowsdill5w@angelfire.com,mmowsdill5w@tumblr.com,-542.69,344,produto3,LG,LG Enact VS890,Aquamarine,2013,Android 4.1.2,Vinyl,299799587-6,1275.47,7/16/2022,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,Porsche,Ringgit,Grocery,LPL Financial Holdings Inc.,3575105655440341,Investment Bankers/Brokers/Service,Never,sim,alto,marca2,27,true,true,regular,inter,recusado,4358.12,empréstimos,desativada,97
214,Peyter Dibling,Peyter,Dibling,Non-binary,468-59-3085,58,97102 CEDEX,Basse-Terre,Guadeloupe,66856 Surrey Alley,true,Civil Engineer,Tswana,pessoa física,pdibling5x@nature.com,pdibling5x@nih.gov,-6749.17,439,produto3,Nokia,Nokia 5610 XpressMusic,Purple,2007,Feature phone,Wood,275300538-9,6257.25,12/29/2021,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,Nissan,Euro,Home,Capitol Acquisition Corp. III,633110436163972848,Business Services,Often,não,médio,marca2,32,false,true,regular,inter,aceito,6458.06,investimentos,desativada,16
215,Ernie Casseldine,Ernie,Casseldine,Male,558-53-9076,32,8404,Capalayan,,100 Dennis Center,true,Director of Sales,Moldovan,pessoa jurídica,ecasseldine5y@jiathis.com,ecasseldine5y@qq.com,-4018.24,366,produto3,alcatel,alcatel OT-E157,Red,2005,Feature phone,Wood,742886786-X,39.39,9/14/2022,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,Subaru,Peso,Clothing,"Electronics for Imaging, Inc.",564182973540320747,Computer Communications Equipment,Weekly,sim,baixo,marca2,39,false,true,bom,santander,recusado,7675.0,consórcios,ativa,86
216,Silvester Brotherheed,Silvester,Brotherheed,Male,409-42-5444,34,44-290,Jejkowice,,4 Dennis Circle,false,Research Nurse,Burmese,pessoa jurídica,sbrotherheed5z@wix.com,sbrotherheed5z@forbes.com,-4618.42,772,produto3,Samsung,Samsung Galaxy Tab S5e,Aquamarine,2019,"Android 9.0, up to Android 11, One UI 3.1",Aluminum,297075969-1,8294.72,5/15/2021,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,Toyota,Zloty,Health,First South Bancorp Inc,3586630937387777,Major Banks,Often,sim,médio,marca1,30,false,false,ruim,caixa,recusado,2463.59,empréstimos,desativada,8
217,Tabby Batteson,Tabby,Batteson,Female,368-50-6862,31,,Zaytā Jammā‘īn,,4987 Green Parkway,false,Structural Engineer,Kannada,pessoa física,tbatteson60@jalbum.net,tbatteson60@sphinn.com,-2388.62,531,produto3,Allview,Allview Viva 1003G Lite,Crimson,2019,Android 8.1 Oreo,Granite,216993723-4,5602.46,4/9/2022,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,Chevrolet,Shekel,Jewelry,"Connecticut Water Service, Inc.",0604796809677650526,Water Supply,Daily,sim,médio,marca3,91,false,true,regular,inter,recusado,8662.5,financiamentos,ativa,56
