id,nome,marca,modelo,os,device_date,barcode,estoque,preço,preço_mercado,data,credit_card,code,moeda
148,Alysa Coyle,Huawei,Huawei Nexus 6P,"Android 6.0, up to Android 8.0",2015,49035-490,The Providence Service Corporation,$2.83,$631.2M,2/22/2024,3561224256965394,AMD,Dram
149,Carolan Kneeshaw,Sewon,Sewon SGD-1000,Feature phone,2004,51346-167,Matthews International Corporation,$1.89,$2.08B,1/7/2023,0604575284532380,PHP,Peso
150,Evangeline Tear,Icemobile,Icemobile G7,Android OS,2013,36987-2120,"MS Income Securities, Inc.",$3.75,$163.76M,8/31/2023,3562673805008230,PHP,Peso
151,Rosina Pidgin,Sony,Sony Xperia M4 Aqua Dual,"Android 5.0, up to 6.0",2015,58118-3750,"Winnebago Industries, Inc.",$1.23,$914.42M,11/3/2021,4911609492183593316,IDR,Rupiah
152,Nowell Juniper,Amoi,Amoi A869,Feature phone,2006,67345-0515,"NextEra Energy, Inc.",$2.62,n/a,9/4/2022,3567632188935141,BRL,Real
153,Albie Gofforth,Philips,Philips D833,Android 4.0,2013,47335-343,"Medidata Solutions, Inc.",$1.48,$4.42B,10/26/2022,4917614129439495,NGN,Naira
154,Jedidiah Domerq,Motorola,Motorola DROID 4 XT894,"Android 2.3, up to 4.0",2012,57520-0062,TCF Financial Corporation,$4.14,n/a,2/10/2020,4903220968162500303,IDR,Rupiah
155,Florry Dingivan,Xiaomi,Xiaomi Redmi 5,"Android 7.1.2, MIUI 11",2017,76461-021,"Gibraltar Industries, Inc.",$7.78,$1.1B,8/21/2023,3576854353619677,IDR,Rupiah
156,Emilio Anstead,Allview,Allview P6 Energy Mini,Android 6.0,2017,44567-804,Pioneer Floating Rate Trust,$4.75,$293.39M,7/13/2022,4017952422996,RUB,Ruble
157,Oran Treske,Oppo,Oppo R11s,"Android 7.1.1, ColorOS 3.2",2017,59779-129,Panera Bread Company,$3.16,$7.15B,1/14/2024,5602238035305884,RUB,Ruble
158,Nissa Illes,LG,LG Optimus 4G LTE P935,"Android 2.3, up to 4.0",2011,0942-6499,National Retail Properties,$2.62,$5.87B,2/8/2023,201416430873948,CNY,Yuan Renminbi
159,Karyn Kehir,Acer,Acer Iconia B1-721,Android 4.2,2014,63629-4914,"Endologix, Inc.",$1.04,$385M,11/29/2020,3567710400841816,PLN,Zloty
160,Odella Durber,vivo,vivo S1,"Android 9.0, Funtouch 9",2019,67046-086,"Brown & Brown, Inc.",$4.92,$6.22B,9/11/2020,3528355776767548,USD,Dollar
161,Jocelyne Connerry,BenQ,BenQ M315,Feature phone,2005,0268-0835,Sears Holdings Corporation,$1.54,n/a,12/27/2021,3534621757628807,PLN,Zloty
162,Andriana O'Cannan,Pantech,Pantech G800,Feature phone,2004,49349-516,Gladstone Commercial Corporation,$5.16,$25.74M,9/6/2021,6333235377561797,EUR,Euro
163,Hallsy Batchelour,Lenovo,Lenovo LePad S2005,Android 2.3,2011,10544-576,Green Plains Partners LP,$5.07,$591.49M,5/23/2021,5274268952021567,ILS,Shekel
164,Nikolas Ripping,Vodafone,Vodafone 360 M1,Linux-based LiMo R2.0.1,2009,58118-0268,"PS Business Parks, Inc.",$6.15,n/a,10/20/2020,3543498434570648,CNY,Yuan Renminbi
165,Vallie Deller,Nokia,Nokia 5100,Feature phone,2003,60951-937,"Korea Equity Fund, Inc.",$7.70,$93.02M,1/16/2021,4405453120216001,JPY,Yen
166,Eirena Goby,Lava,Lava Iris 349S,Android 2.3,2013,76335-007,News Corporation,$3.21,$8.23B,5/24/2023,6759588401479088,RUB,Ruble
167,Hart Hodgins,Asus,Asus Memo,Android 4.0.1,2012,67046-462,"Cellectar Biosciences, Inc.",$9.01,n/a,8/25/2022,3578993411911714,IDR,Rupiah
168,Ceciley Hemphrey,Huawei,Huawei U8687 Cronos,Android 4.0,2013,25021-163,"Fuwei Films (Holdings) Co., Ltd.",$6.08,$10.06M,8/8/2022,30306353915510,MZN,Metical
169,Gaelan Vossing,BlackBerry,BlackBerry 8830 World Edition,BlackBerry OS,2007,47335-938,Advance Auto Parts Inc,$8.12,$9.61B,9/23/2022,3578051169170577,PLN,Zloty
170,Essie Maisey,O2,O2 XDA Argon,Microsoft Windows Mobile 5.0 PocketPC,2007,0378-8172,"DSP Group, Inc.",$4.14,$258.27M,6/28/2021,201936738183260,CNY,Yuan Renminbi
171,Marion Kitteman,LG,LG K4 (2017),Android 6.0.1,2017,0409-5921,Microbot Medical Inc. ,$7.65,$54.29M,5/26/2021,30045635476475,RUB,Ruble
172,Colene Ealles,Motorola,Motorola XOOM 2 Media Edition MZ607,"Android 3.2, up to 4.0.4",2011,0007-4892,Brasilagro Cia Brasileira De Propriedades Agricolas,$0.25,$218.35M,4/10/2021,3567485701262620,PHP,Peso
173,Romeo Garnson,LG,LG F60,Android 4.4.2,2014,42291-686,Alphabet Inc.,$6.64,$650.09B,5/15/2020,3560521175278325,CNY,Yuan Renminbi
174,Kalle Storkes,Lenovo,Lenovo A536,Android 4.4.2,2014,49288-0050,Raytheon Company,$0.24,$47.32B,4/15/2023,374288653409473,EUR,Euro
175,Parke MacTeague,Acer,Acer Iconia Tab A101,Android 3.2,2011,58232-0027,"Great Western Bancorp, Inc.",$2.28,$2.34B,7/22/2023,3555975074797586,RUB,Ruble
176,Harper Powelee,BLU,BLU Studio G3,Android 7.0,2017,43846-0023,"Verisk Analytics, Inc.",$5.31,$13.75B,7/20/2023,3534332022785188,EUR,Euro
177,Orrin Winterton,Sagem,Sagem MY X-2,Feature phone,2003,68016-080,Quanex Building Products Corporation,$0.27,$733.65M,3/15/2023,36298594415802,CNY,Yuan Renminbi
178,Collie Headon,Samsung,Samsung Galaxy A01 Core,Android 10,2020,53808-0233,TransUnion,$1.23,$7.93B,1/29/2021,3538396789977540,UGX,Shilling
179,Donelle Blewitt,Huawei,Huawei MediaPad 7 Vogue,"Android 4.1, EMUI 1.5",2013,11819-365,United Technologies Corporation,$9.71,$96.49B,6/15/2022,3572027977058333,SEK,Krona
180,Horton Tetlow,Orange,Orange Hiro,Android 4.1,2013,57525-015,"NETGEAR, Inc.",$0.25,$1.41B,11/10/2023,5237864380254626,VND,Dong
181,Diane Swanton,Oppo,Oppo F17 Pro,"Android 10, ColorOS 7.2",2020,0904-6285,Aflac Incorporated,$1.06,n/a,7/14/2022,5602245772406700,PLN,Zloty
182,Howard Male,Micromax,Micromax Bharat 2 Q402,Android 6.0,2017,0067-8118,Fidelity Southern Corporation,$7.55,$610.37M,2/14/2023,3567780292337025,EUR,Euro
183,Rosalyn Good,Samsung,Samsung A877 Impression,Feature phone,2009,11673-224,Kemper Corporation,$7.03,n/a,9/23/2022,56022529868336300,EUR,Euro
184,Flinn Giaomozzo,Huawei,Huawei Mate 30 Pro,"Android 10, EMUI 11, no Google Play Services",2019,63481-674,First Trust Enhanced Short Maturity ETF,$0.53,$966.47M,4/12/2022,4913866095986560,EUR,Euro
185,Jillene Duffy,BLU,BLU Diamond M,Android 6.0,2016,75997-025,"McDermott International, Inc.",$8.92,$1.78B,9/20/2022,3573640087110668,RUB,Ruble
186,Chariot Costigan,Micromax,Micromax X288,Feature phone,2012,65483-116,"American National Bankshares, Inc.",$3.18,$330M,4/10/2021,3555430700216106,IDR,Rupiah
187,Katharyn Hazley,Archos,Archos 55 Cobalt Plus,Android 5.1.1,2016,54868-5576,"I.D. Systems, Inc.",$8.70,$87.7M,6/2/2020,561050039658908627,CAD,Dollar
188,Agace Oldfield,LG,LG L20,Android 4.4.2,2014,54569-2095,Intuit Inc.,$2.62,$35.74B,5/15/2023,374622664183430,CNY,Yuan Renminbi
189,Ava Ingarfield,NEC,NEC N500,Feature phone,2004,0054-0278,"Morgan Stanley Emerging Markets Debt Fund, Inc.",$2.92,$213.38M,12/10/2021,3536528778420536,RUB,Ruble
190,Eleanor Meiklem,BlackBerry,BlackBerry Curve 9350,BlackBerry OS 7.0,2011,55910-559,Capital One Financial Corporation,$2.18,n/a,6/16/2021,30250639694590,IDR,Rupiah
191,Sylvester Tredger,Philips,Philips Xenium 9@9e,Feature phone,2005,0093-0658,"Hercules Capital, Inc.",$3.89,n/a,8/24/2021,3557460646043130,SEK,Krona
192,Nathanial Deboo,Samsung,Samsung Galaxy Star 2,Android 4.4.2,2014,60691-123,Invesco Municipal Opportunity Trust,$8.99,$885.83M,6/8/2022,5602222248697220,AUD,Dollar
193,Winnifred Beresfore,alcatel,alcatel OT-S920,Feature phone,2008,49643-300,US Foods Holding Corp.,$7.76,$6.33B,3/17/2022,3571774177615054,NZD,Dollar
194,Julissa Skoyles,HTC,HTC DROID DNA,"Android 4.1, up to 4.2, Sense UI 4+",2012,60512-8031,"Assurant, Inc.",$1.50,$5.72B,6/8/2023,3557302146071932,CNY,Yuan Renminbi
195,Der Gomar,i-mobile,i-mobile TV 535,Feature phone,2009,63629-1260,Nevro Corp.,$3.55,$2.16B,1/29/2024,3569330528723628,CNY,Yuan Renminbi
196,Elly Wilmore,Wiko,Wiko Y60,Android 9.0 Pie,2020,41167-4255,Global X Health & Wellness Thematic ETF,$5.46,n/a,11/28/2020,3575094113697959,CNY,Yuan Renminbi
197,Karol Skill,Xiaomi,Xiaomi Redmi K20 Pro Premium,"Android 10, MIUI 11",2019,0378-0334,"Tremor Video, Inc.",$0.47,$118.79M,3/31/2021,3543267176038878,BTN,Ngultrum
198,Ava Lorentz,Micromax,Micromax Funbook 3G P600,Android 4.0.4,2013,58809-501,Nuveen North Carolina Quality Municipal Income Fd,$7.45,$220.34M,4/17/2020,3541067690101026,RUB,Ruble
199,Maure Paroni,BenQ-Siemens,BenQ-Siemens A58,Feature phone,0,13913-004,"Consumer Portfolio Services, Inc.",$8.23,$101.59M,11/22/2022,3538880570992784,GBP,Pound
200,Kerianne Wyld,alcatel,alcatel A3 XL,Android 7.0,2017,54575-197,"Sinovac Biotech, Ltd.",$10.00,$307.3M,3/12/2022,3557628686195131,SEK,Krona
201,Whitby Mahaffey,Samsung,Samsung Galaxy A70s,"Android 9.0, up to Android 11, One UI 3.1",2019,76270-150,Nustar Energy L.P.,$1.44,$4.21B,9/22/2020,3550583255568464,CNY,Yuan Renminbi
202,Toby Beardshaw,OnePlus,OnePlus Nord,"Android 10, up to 11, OxygenOS 11.1.4.4",2020,64942-1059,Seneca Foods Corp.,$7.12,$304.81M,7/6/2023,5552761911704490,GHS,Cedi
203,Gualterio Le Grand,Allview,Allview X1 Xtreme,Android 4.2.2,2014,0054-8486,"Transcontinental Realty Investors, Inc.",$5.31,$230.24M,9/11/2022,201520735604708,COP,Peso
204,Gardy Bleas,Tecno,Tecno Spark CM,Android 7.0,2017,57627-130,"West Marine, Inc.",$5.10,$245.88M,7/29/2022,5380160422088329,EUR,Euro
205,Jerrie Yukhnin,Samsung,Samsung Galaxy Tab S4 10.5,"Android 8.1, up to Android 10, One UI 2.0",2018,60512-8030,Consolidated Water Co. Ltd.,$1.28,$184.63M,12/25/2023,4041593373379244,IDR,Rupiah
206,Langsdon Ericsson,alcatel,alcatel Pop Star,Android 5.0,2015,63941-641,Reading International Inc,$5.17,$367M,1/18/2022,3565329418675751,IDR,Rupiah
207,Dedie Pepperell,Samsung,Samsung A767 Propel,Feature phone,2008,0245-0220,Leju Holdings Limited,$8.86,$346.48M,4/6/2020,36330507809720,COP,Peso
208,Rosalie Sandeland,Icemobile,Icemobile Cenior,Feature phone,2012,0185-0118,"Cloudera, Inc.",$8.76,$2.28B,11/16/2020,3579634653117425,EUR,Euro
209,Giacinta Caswell,Huawei,Huawei Mate 30 5G,"Android 10, EMUI 10, no Google Play Services",2019,64942-1231,Lexington Realty Trust,$3.98,$2.46B,7/24/2021,5369846263628679,SEK,Krona
210,Coreen Linke,BLU,BLU Magic,Android 2.2,2011,50436-7056,First Horizon National Corporation,$9.35,n/a,1/12/2024,3563678379372788,IDR,Rupiah
211,Orrin Inskipp,Samsung,Samsung Galaxy Axiom R830,Android 4.0.4,2012,65121-993,"Inovio Pharmaceuticals, Inc.",$5.88,$585.08M,7/25/2022,5602234376380355107,IDR,Rupiah
212,Teirtza Menham,Samsung,Samsung A500,Feature phone,2002,0093-5414,"Imprimis Pharmaceuticals, Inc.",$0.73,$60.4M,1/20/2021,5602245125180945,SEK,Krona
213,Annadiane Dwelly,VK,VK Mobile VK540,Feature phone,2004,59762-0030,"PowerShares QQQ Trust, Series 1",$6.37,$50.09B,3/11/2020,3586219941328157,PHP,Peso
214,Enrika Durtnall,Oppo,Oppo Reno4 Pro 5G,"Android 10, ColorOS 7.2",2020,0378-5521,"BioLife Solutions, Inc.",$0.90,$29.72M,5/18/2021,3579384515283201,GHS,Cedi
215,Grenville Ybarra,verykool,verykool sl5029 Bolt Pro LTE,Android 7.0,2017,43269-760,Carlisle Companies Incorporated,$4.48,$6.19B,8/27/2021,5602237493371123,PEN,Sol
216,Adey Ruby,Siemens,Siemens ME45,Feature phone,2001,61941-0224,PowerShares LadderRite 0-5 Year Corporate Bond Portfolio,$4.31,$22.51M,2/28/2023,5602239366192024,RUB,Ruble
217,Vida Junes,Oppo,Oppo R9s,Android 6.0.1,2016,41520-440,Visteon Corporation,$7.91,$2.93B,5/6/2021,3564972055174876,CNY,Yuan Renminbi
218,Prudy Chapleo,Sony,Sony CM-DX 1000,Feature phone,1997,51660-491,CABCO Series 2004-101 Trust,$2.64,n/a,3/9/2020,372301029649649,PYG,Guarani
219,Danila Edden,alcatel,alcatel OT-E205,Feature phone,2006,50988-198,"BankUnited, Inc.",$5.53,$3.65B,7/24/2023,3580486522287112,THB,Baht
220,Shaylyn Egentan,LG,LG GS390 Prime,Feature phone,2010,58668-1521,"Clovis Oncology, Inc.",$0.88,$2.69B,1/15/2021,3531183577256098,CNY,Yuan Renminbi
221,Darline Tyers,Amazon,Amazon Fire 7 (2017),"Customized Android 5.1, Fire 5.4",2017,58281-561,First Horizon National Corporation,$3.99,n/a,5/18/2020,4041590557914,BOB,Boliviano
222,Zenia Rudham,Meizu,Meizu 15,"Android 7.1.2, Flyme 7.3",2018,67046-720,ProAssurance Corporation,$5.07,$3.28B,1/12/2021,3588548463445157,CNY,Yuan Renminbi
223,Legra Holdforth,BLU,BLU Dash Music JR,Android 4.4.2,2014,21695-600,TCF Financial Corporation,$0.16,n/a,5/18/2021,374288244264700,IDR,Rupiah
224,Osmond Beardsall,Nokia,Nokia Lumia 505,Microsoft Windows Phone 7.8,2013,63739-478,"ARMOUR Residential REIT, Inc.",$4.00,n/a,7/31/2020,6763686078674662071,IDR,Rupiah
225,Claudius Rowsel,Infinix,Infinix Zero 6,Android 8.0,2019,68151-5230,Quantum Corporation,$0.58,$246.49M,1/28/2022,5893235493018146883,EUR,Euro
226,Emelita Gamlyn,Samsung,Samsung V100,Feature phone,2002,60429-094,Qwest Corporation,$2.93,n/a,1/28/2024,4769222185080,KRW,Won
227,Cheslie Aickin,vivo,vivo Y97,"Android 8.1, Funtouch 4.5",2018,49981-020,"Lands' End, Inc.",$6.00,$520.48M,3/12/2020,3528668005248431,IDR,Rupiah
228,Gabriela Wrettum,LG,LG X mach,Android 6.0.1,2016,48951-9028,"XO Group, Inc.",$6.33,$431.87M,10/5/2020,343939666355248,EUR,Euro
229,Micky Ridgway,HTC,HTC Wildfire E1,Android 9.0,2019,59746-348,First Trust Indxx Global Agriculture ETF,$5.62,$7.52M,1/20/2020,3589901149890347,CNY,Yuan Renminbi
230,Ferris Holtaway,Lenovo,Lenovo LePad S2010,"Android 2.3, up to 4.0",2012,68084-391,Capitala Finance Corp.,$6.79,n/a,11/5/2021,3548669446352051,PHP,Peso
231,Jessa Androlli,Allview,Allview X2 Soul Style,Android 5.1,2015,36987-2406,"SB Financial Group, Inc.",$7.07,n/a,2/12/2021,5020155620575727,IDR,Rupiah
232,Crista Odlin,Acer,Acer Iconia One 7 B1-730,"Android 4.2.2, up to 4.4.2",2014,50268-522,Welltower Inc.,$3.06,n/a,2/23/2023,3559776248617403,PHP,Peso
233,Lovell Liversidge,ZTE,ZTE Blade Max View,"Android 7.1.1, up to Android 8.1",2019,64380-735,Pacific Special Acquisition Corp.,$3.40,n/a,12/18/2021,3554294473819582,IQD,Dinar
234,Stanton Nuccii,Celkon,Celkon Xion s CT695,Android 4.4.2,2014,43063-458,"Forrester Research, Inc.",$9.48,$700.65M,1/4/2023,4026473456424754,RUB,Ruble
235,Arabela Burges,ZTE,ZTE nubia Prague S,"Android 5.2, nubia UI 3",2016,46122-157,"Airgain, Inc.",$6.26,$136.04M,10/21/2021,6763608747868839738,JPY,Yen
236,Helyn Wackly,Microsoft,Microsoft Lumia 640 XL Dual SIM,Microsoft Windows Phone 8.1,2015,32819-1001,"Retrophin, Inc.",$2.45,$690.93M,5/17/2021,3535856588868615,BDT,Taka
237,Josefina Janicijevic,Vertu,Vertu Constellation Quest,Symbian OS,2010,68788-9917,"SigmaTron International, Inc.",$6.35,$27.63M,5/14/2022,5100149508062232,IDR,Rupiah
238,Renado Elsey,Samsung,Samsung Galaxy Pocket 2,Android 4.4.2,2014,55150-129,West Corporation,$6.77,$1.9B,5/18/2022,4844479556431912,DKK,Krone
239,Brooks Cooch,Plum,Plum Genius,Feature phone,2011,60429-109,"Maui Land & Pineapple Company, Inc.",$4.97,$386.9M,11/23/2020,3549777145438292,THB,Baht
240,Helaine Macourek,NEC,NEC N750,Feature phone,2005,68703-072,Astronics Corporation,$1.18,$883.27M,3/28/2021,5641822742144104097,USD,Dollar
241,Shela Elsegood,Amoi,Amoi A102,Feature phone,2007,0316-2055,"eHealth, Inc.",$7.56,$347.43M,3/27/2022,675935693170327838,IRR,Rial
242,Daven O'Crevy,LG,LG W11,Android 10,0,60429-304,"Agilent Technologies, Inc.",$8.03,$19.12B,9/19/2020,5007663893710514,GTQ,Quetzal
243,Rosalind Durrett,Celkon,Celkon CT 9,Android 4.0,2012,54569-5906,Gramercy Property Trust Inc.,$6.22,n/a,12/19/2021,3584984983499750,SEK,Krona
244,Etienne Lundbech,Allview,Allview X2 Soul Pro,Android 5.0,2015,61924-208,"bebe stores, inc.",$8.59,$40.31M,6/17/2020,50183563190259839,ZAR,Rand
245,Collie Walmsley,verykool,verykool R80,Feature phone,2011,56136-009,StoneCastle Financial Corp,$5.21,$130.19M,9/24/2023,6706976023715688,IDR,Rupiah
246,Bernardina Dowall,Huawei,Huawei U1250,Feature phone,2009,57955-5077,Capital Product Partners L.P.,$0.87,$414.27M,4/3/2022,3528937726630627,EUR,Euro
247,Hervey Czaple,LG,LG Optimus LTE Tag,"Android 2.3, up to 4.0",2012,65954-560,First Trust Capital Strength ETF,$2.78,$431.69M,8/26/2021,3564831787693100,CZK,Koruna
248,Arabele Spradbery,Vodafone,Vodafone 546,Feature phone,2010,76237-167,Michael Kors Holdings Limited,$0.06,$5.39B,2/29/2020,4017959427815170,CAD,Dollar
249,Jule Tooke,Nokia,Nokia 225 4G,Feature phone,2020,67938-1094,"Salisbury Bancorp, Inc.",$9.11,$110.06M,3/27/2021,5100148953893588,IDR,Rupiah
250,Chadwick Bouts,ZTE,ZTE Blade G,Android 4.4.2,2015,0378-0078,"NexPoint Residential Trust, Inc.",$1.55,$536.19M,12/3/2020,6394885079944802,PHP,Peso
251,Angelita McKevin,Motorola,Motorola V620,Feature phone,2004,51978-1001,"Barrett Business Services, Inc.",$4.60,$417.92M,1/21/2024,676738516472675124,BDT,Taka
252,Darill Boecke,Eten,Eten glofiish M810,Microsoft Windows Mobile 6.0 Professional,2008,55111-208,ICICI Bank Limited,$0.60,$28.43B,3/5/2023,4026723189790750,CZK,Koruna
253,Cristal Gay,Samsung,Samsung Galaxy Discover S730M,Android 4.0.4,2012,67512-224,"Roadrunner Transportation Systems, Inc",$9.09,$264.55M,8/4/2023,374283896619749,KZT,Tenge
254,Adrianne Gabe,Icemobile,Icemobile Charm II,Feature phone,2014,54868-1425,KKR & Co. L.P.,$7.51,$8.43B,2/17/2022,060478476374620770,CNY,Yuan Renminbi
255,Galven Gellan,Sony,Sony Xperia 5 Plus,Android 10,0,59667-0011,"Schmitt Industries, Inc.",$1.87,$5.69M,4/3/2020,3538325710098183,LSL,Loti
256,Calvin Verna,Sony,Sony Ericsson V600,Feature phone,2005,41190-871,Aralez Pharmaceuticals Inc.,$4.94,$79.48M,3/24/2020,67633939547802952,COP,Peso
257,Em Cordeau,Vodafone,Vodafone 150,Feature phone,2010,55111-695,"Tarena International, Inc.",$1.51,$1.03B,6/22/2021,3543772072692298,EUR,Euro
258,Dallas Havenhand,Lenovo,Lenovo Z5 Pro,"Android 8.1, ZUI 10",2018,52959-838,Costco Wholesale Corporation,$5.75,$73.29B,6/13/2021,6759706077781719760,IDR,Rupiah
259,Trista Lodge,Samsung,Samsung Galaxy Ace Style,"Android 4.4.2, TouchWiz Essence UI",2014,35356-886,"Xenia Hotels & Resorts, Inc.",$7.12,$2.14B,12/27/2023,3581067906528674,CNY,Yuan Renminbi
260,Loren Dennistoun,Motorola,Motorola Moto E4 Plus (USA),Android 7.1,2017,10812-397,First Financial Corporation Indiana,$6.16,$587.96M,12/18/2022,5156986598073238,CNY,Yuan Renminbi
261,Meade Haydon,Samsung,Samsung S5500 Eco,Feature phone,2010,64536-3851,Cypress Semiconductor Corporation,$8.45,$4.33B,5/29/2020,3582798689163318,YER,Rial
262,Franky Dunsford,Ericsson,Ericsson A1018s,Feature phone,1999,43526-001,"Safety Insurance Group, Inc.",$9.62,$1.06B,6/17/2022,6706079457319948075,IDR,Rupiah
263,Ellen Cotherill,Coolpad,Coolpad Cool1 dual,"Android 6.0, eUI 5.6",2016,0941-0409,"Helmerich & Payne, Inc.",$9.03,$5.97B,4/28/2021,58933363675754321,CZK,Koruna
264,Gabriellia Burrells,Celkon,Celkon C404,Feature phone,2011,36987-2261,Ford Motor Company,$0.73,$44.68B,3/13/2020,3550822747714629,CNY,Yuan Renminbi
265,Tersina Yarnell,Nokia,Nokia 2330 classic,Feature phone,2009,21749-967,"Sangamo Therapeutics, Inc.",$2.76,$535.95M,9/11/2023,3568219102006099,NZD,Dollar
266,Shayne Keen,Samsung,Samsung X450,Feature phone,2003,36800-271,Alibaba Group Holding Limited,$9.83,$341.22B,9/8/2020,3564907271219055,IDR,Rupiah
267,Isabeau Loram,BLU,BLU G80,Android 10,2020,49884-668,"TerraVia Holdings, Inc.",$7.29,$29.17M,4/1/2022,56022413082290876,EUR,Euro
268,Yuma Lyokhin,Samsung,Samsung Galaxy Xcover FieldPro,Android 8.0,2020,68151-5048,"Immunomedics, Inc.",$4.37,$825.03M,2/10/2020,201678046646428,USD,Dollar
269,Mabel Viel,BLU,BLU Vivo XL,"Android 5.1, up to 6.0",2016,11673-836,Five Oaks Investment Corp.,$7.40,n/a,11/18/2023,370449222914252,CNY,Yuan Renminbi
270,Sindee Kirwin,Motorola,Motorola V66,Feature phone,2001,59762-3080,First Trust Nasdaq Oil & Gas ETF,$6.22,$1.8M,2/15/2020,3585997094625476,CNY,Yuan Renminbi
271,Clementia Sandal,Orange,Orange Hiro,Android 4.1,2013,61715-100,"Digiliti Money Group, Inc.",$7.25,$31.11M,8/11/2021,3529716742288076,IDR,Rupiah
272,Fleming Fust,Celkon,Celkon C5055,Feature phone,2014,0440-8110,"USA Technologies, Inc.",$4.89,$203.67M,12/26/2021,67620220866419578,RUB,Ruble
273,Hailee Beadnall,alcatel,alcatel 1, Android 8.1 Oreo,2018,37000-754,"Bridgeline Digital, Inc.",$2.25,$12.16M,2/13/2024,3551291537826333,IDR,Rupiah
274,Burt Aikett,Huawei,Huawei Ascend G600,Android 4.0.4,2012,57520-0990,SL Green Realty Corporation,$6.08,n/a,7/15/2021,3582003695089684,EUR,Euro
275,Clayton Landes,vivo,vivo iQOO,"Android 9.0, Funtouch 9",2019,21695-823,Seagate Technology PLC,$1.71,$12.47B,8/5/2021,5146199747830937,UAH,Hryvnia
276,Gracie Chupin,Yota,Yota YotaPhone 2,"Android 4.4.3, up to 6.0",2014,55289-928,"Colony NorthStar, Inc.",$1.01,n/a,12/28/2022,3563005588076127,PHP,Peso
277,Yurik Ridger,XOLO,XOLO LT900,Android 4.2,2013,41190-648,International Paper Company,$2.39,$23.33B,2/27/2020,6379399309901292,IQD,Dinar
278,Nilson Hartfield,Samsung,Samsung I9100G Galaxy S II,"Android 2.3.4, 4.0.4, up to 4.1.2",2011,64679-763,"Discovery Communications, Inc.",$4.50,$9.85B,11/9/2021,3579232434697953,BAM,Marka
279,Leonerd Gland,Siemens,Siemens SX1,"Symbian 6.1, Series 60 v1.0 UI",2003,50563-144,CBS Corporation,$2.81,$25.26B,5/21/2021,6331105563798903,EUR,Euro
280,Reider Loachhead,i-mobile,i-mobile TV 523,Feature phone,2008,49349-119,Liberty Media Corporation,$3.50,n/a,8/20/2022,3570431962645462,RUB,Ruble
281,Christabel Brosoli,Xiaomi,Xiaomi Redmi Note 9S,"Android 10, up to Android 11, MIUI 12",2020,43063-374,"Albany Molecular Research, Inc.",$2.61,$929.63M,2/13/2024,5048374166864308,PEN,Sol
282,Vina Raitt,Microsoft,Microsoft Lumia 640 XL Dual SIM,Microsoft Windows Phone 8.1,2015,50845-0136,"Harley-Davidson, Inc.",$2.20,$9.71B,11/26/2020,3558712415949965,RUB,Ruble
283,Patrice Shellum,Huawei,Huawei nova 5z,"Android 9.0, EMUI 9.1",2019,0025-1942,Double Eagle Acquisition Corp.,$2.02,$628.13M,6/11/2021,4936421557190674,CNY,Yuan Renminbi
284,Ali MacDearmid,Asus,Asus Zenfone 7 Pro,"Android 10, up to Android 11, ZenUI 8",2020,30142-925,"Nicholas Financial, Inc.",$2.70,$61M,9/25/2020,060476163835539797,USD,Dollar
285,Toddy Sapsford,LG,LG L60 Dual,Android 4.4.2,2014,0173-0859,"Rand Logistics, Inc.",$8.84,$6.7M,4/30/2020,6771808687396702688,CNY,Yuan Renminbi
286,Katrinka Wainer,Philips,Philips F610,Feature phone,2010,76472-1125,PowerShares Variable Rate Investment Grade Portfolio,$9.57,$69.29M,1/18/2021,4844042116990262,UAH,Hryvnia
287,Terrye Kordt,Spice,Spice M-5170,Feature phone,2010,53808-0348,VictoryShares US 500 Volatility Wtd ETF,$9.42,$8.83M,6/6/2022,4508989253361987,CNY,Yuan Renminbi
288,Gil Hemms,BLU,BLU Studio G4,Android 8.1 Oreo,2018,62750-039,"Myriad Genetics, Inc.",$2.34,$1.63B,2/8/2023,3556453810275563,CNY,Yuan Renminbi
289,Genia Lonsdale,Motorola,Motorola Defy Mini XT321,Android 2.3.6,2012,49348-306,The Goodyear Tire & Rubber Company,$0.22,$8.44B,5/7/2020,5602218046308630,BGN,Lev
290,Mozelle McCurry,Karbonn,Karbonn Titanium S99,Android 4.4,2014,55154-5464,"TJX Companies, Inc. (The)",$4.14,$46.6B,2/25/2022,5007667302812860,EUR,Euro
291,Alta Fardon,Celkon,Celkon C44,Feature phone,2011,30142-357,Hoegh LNG Partners LP,$0.85,$628.6M,3/13/2021,5100132421824219,PEN,Sol
292,Boy Krishtopaittis,Meizu,Meizu 16s,"Android 9.0, Flyme 7.3",2019,45802-133,John Bean Technologies Corporation,$1.67,$2.89B,3/4/2020,3578274630546155,ZAR,Rand
293,Rudolph Naisey,HTC,HTC Wildfire X,Android 9,2019,0615-1384,Xerox Corporation,$0.88,$1.81B,8/7/2023,30249529597491,CAD,Dollar
294,Emelia Ofer,Pantech,Pantech Impact,Feature phone,2009,76271-003,Virtus Global Multi-Sector Income Fund,$2.60,$194.72M,2/18/2020,6763441653674475280,IDR,Rupiah
295,Ev Larvin,Motorola,Motorola MC55,Microsoft Windows Mobile 6.1 Professional,2009,65923-046,"First Industrial Realty Trust, Inc.",$7.03,$3.47B,10/24/2023,4041377342621,XOF,Franc
